2017-03-03 15:21:39 startup archives install
2017-03-03 15:21:39 install base-passwd:armhf <none> 3.5.37
2017-03-03 15:21:39 status half-installed base-passwd:armhf 3.5.37
2017-03-03 15:21:39 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:39 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:39 configure base-passwd:armhf 3.5.37 3.5.37
2017-03-03 15:21:39 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:39 status half-configured base-passwd:armhf 3.5.37
2017-03-03 15:21:40 status installed base-passwd:armhf 3.5.37
2017-03-03 15:21:40 startup archives install
2017-03-03 15:21:40 install base-files:armhf <none> 8+rpi1
2017-03-03 15:21:40 status half-installed base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 configure base-files:armhf 8+rpi1 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:40 status half-configured base-files:armhf 8+rpi1
2017-03-03 15:21:41 status installed base-files:armhf 8+rpi1
2017-03-03 15:21:41 startup archives install
2017-03-03 15:21:42 upgrade dpkg 1.17.27 1.17.27
2017-03-03 15:21:42 status half-configured dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status half-installed dpkg 1.17.27
2017-03-03 15:21:42 status half-installed dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 configure dpkg 1.17.27 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status unpacked dpkg 1.17.27
2017-03-03 15:21:42 status half-configured dpkg 1.17.27
2017-03-03 15:21:42 status installed dpkg 1.17.27
2017-03-03 15:21:42 startup archives install
2017-03-03 15:21:42 install libc6:armhf <none> 2.19-18+deb8u7
2017-03-03 15:21:42 status half-installed libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:43 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:43 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:43 configure libc6:armhf 2.19-18+deb8u7 2.19-18+deb8u7
2017-03-03 15:21:43 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:43 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:43 status half-configured libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:44 status installed libc6:armhf 2.19-18+deb8u7
2017-03-03 15:21:44 startup archives install
2017-03-03 15:21:44 install perl-base:armhf <none> 5.20.2-3+deb8u6
2017-03-03 15:21:44 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2017-03-03 15:21:45 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2017-03-03 15:21:45 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2017-03-03 15:21:45 configure perl-base:armhf 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-03-03 15:21:45 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2017-03-03 15:21:45 status half-configured perl-base:armhf 5.20.2-3+deb8u6
2017-03-03 15:21:45 status installed perl-base:armhf 5.20.2-3+deb8u6
2017-03-03 15:21:45 startup archives install
2017-03-03 15:21:45 install mawk:armhf <none> 1.3.3-17
2017-03-03 15:21:45 status half-installed mawk:armhf 1.3.3-17
2017-03-03 15:21:45 status unpacked mawk:armhf 1.3.3-17
2017-03-03 15:21:45 status unpacked mawk:armhf 1.3.3-17
2017-03-03 15:21:45 configure mawk:armhf 1.3.3-17 1.3.3-17
2017-03-03 15:21:45 status unpacked mawk:armhf 1.3.3-17
2017-03-03 15:21:45 status half-configured mawk:armhf 1.3.3-17
2017-03-03 15:21:45 status installed mawk:armhf 1.3.3-17
2017-03-03 15:21:45 startup archives install
2017-03-03 15:21:45 install debconf:all <none> 1.5.56
2017-03-03 15:21:45 status half-installed debconf:all 1.5.56
2017-03-03 15:21:46 status unpacked debconf:all 1.5.56
2017-03-03 15:21:46 status unpacked debconf:all 1.5.56
2017-03-03 15:21:46 configure debconf:all 1.5.56 1.5.56
2017-03-03 15:21:46 status unpacked debconf:all 1.5.56
2017-03-03 15:21:46 status unpacked debconf:all 1.5.56
2017-03-03 15:21:46 status unpacked debconf:all 1.5.56
2017-03-03 15:21:46 status unpacked debconf:all 1.5.56
2017-03-03 15:21:46 status half-configured debconf:all 1.5.56
2017-03-03 15:21:47 status installed debconf:all 1.5.56
2017-03-03 15:21:48 startup archives unpack
2017-03-03 15:21:48 install acl:armhf <none> 2.2.52-2
2017-03-03 15:21:48 status half-installed acl:armhf 2.2.52-2
2017-03-03 15:21:48 status unpacked acl:armhf 2.2.52-2
2017-03-03 15:21:48 status unpacked acl:armhf 2.2.52-2
2017-03-03 15:21:48 install adduser:all <none> 3.113+nmu3
2017-03-03 15:21:48 status half-installed adduser:all 3.113+nmu3
2017-03-03 15:21:48 status unpacked adduser:all 3.113+nmu3
2017-03-03 15:21:48 status unpacked adduser:all 3.113+nmu3
2017-03-03 15:21:48 upgrade base-files:armhf 8+rpi1 8+rpi1
2017-03-03 15:21:48 status half-configured base-files:armhf 8+rpi1
2017-03-03 15:21:48 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:48 status half-installed base-files:armhf 8+rpi1
2017-03-03 15:21:48 status half-installed base-files:armhf 8+rpi1
2017-03-03 15:21:48 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:48 status unpacked base-files:armhf 8+rpi1
2017-03-03 15:21:49 upgrade base-passwd:armhf 3.5.37 3.5.37
2017-03-03 15:21:49 status half-configured base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status half-installed base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status half-installed base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:49 status unpacked base-passwd:armhf 3.5.37
2017-03-03 15:21:49 install bash:armhf <none> 4.3-11+deb8u1
2017-03-03 15:21:49 status half-installed bash:armhf 4.3-11+deb8u1
2017-03-03 15:21:50 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-03 15:21:50 status unpacked bash:armhf 4.3-11+deb8u1
2017-03-03 15:21:50 install bsdutils:armhf <none> 1:2.25.2-6
2017-03-03 15:21:50 status half-installed bsdutils:armhf 1:2.25.2-6
2017-03-03 15:21:50 status unpacked bsdutils:armhf 1:2.25.2-6
2017-03-03 15:21:50 status unpacked bsdutils:armhf 1:2.25.2-6
2017-03-03 15:21:50 install coreutils:armhf <none> 8.23-4
2017-03-03 15:21:50 status half-installed coreutils:armhf 8.23-4
2017-03-03 15:21:51 status unpacked coreutils:armhf 8.23-4
2017-03-03 15:21:51 status unpacked coreutils:armhf 8.23-4
2017-03-03 15:21:51 install cpio:armhf <none> 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:51 status half-installed cpio:armhf 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:52 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:52 status unpacked cpio:armhf 2.11+dfsg-4.1+deb8u1
2017-03-03 15:21:52 install dash:armhf <none> 0.5.7-4
2017-03-03 15:21:52 status half-installed dash:armhf 0.5.7-4
2017-03-03 15:21:52 status unpacked dash:armhf 0.5.7-4
2017-03-03 15:21:52 status unpacked dash:armhf 0.5.7-4
2017-03-03 15:21:52 upgrade debconf:all 1.5.56 1.5.56
2017-03-03 15:21:52 status half-configured debconf:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf:all 1.5.56
2017-03-03 15:21:53 status half-installed debconf:all 1.5.56
2017-03-03 15:21:53 status half-installed debconf:all 1.5.56
2017-03-03 15:21:53 status unpacked debconf:all 1.5.56
